,0,1,2,3
202410010503,馬単,6→1,1710,6
202410010503,三連複,1-2-6,1030,1
202410010503,三連単,6→1→2,6330,11
202410010504,単勝,8,400,3
202410010504,複勝,8,150,3
202410010504,複勝,10,130,1
202410010504,複勝,12,340,6
202410010504,枠連,6-7,510,2
202410010504,馬連,8-10,580,2
202410010504,ワイド,8-10,270,2
202410010504,ワイド,8-12,700,7
202410010504,ワイド,10-12,700,6
202410010504,馬単,8→10,1270,4
202410010504,三連複,8-10-12,2080,5
202410010504,三連単,8→10→12,9590,21
202410010505,単勝,7,160,1
202410010505,複勝,5,190,4
202410010505,複勝,11,400,10
202410010505,枠連,4-5,280,1
202410010505,馬連,4-7,300,1
202410010505,ワイド,4-7,130,1
202410010505,ワイド,5-7,320,4
202410010505,ワイド,7-11,600,16
202410010505,ワイド,4-5,480,10
202410010505,ワイド,4-11,990,21
202410010505,馬単,7→4,510,1
202410010505,三連複,4-5-7,840,5
202410010505,三連複,4-7-11,1870,13
202410010505,三連単,7→4→5,2090,5
202410010505,三連単,7→4→11,4470,24
202410010506,単勝,5,490,2
202410010506,複勝,5,190,2
202410010506,複勝,14,160,1
202410010506,複勝,4,330,8
202410010506,馬連,5-14,770,1
202410010506,ワイド,5-14,350,1
202410010506,ワイド,4-5,1320,20
202410010506,ワイド,4-14,760,7
202410010506,馬単,5→14,1610,1
202410010506,三連複,4-5-14,3240,10
202410010506,三連単,5→14→4,12000,17
202410010507,単勝,7,620,4
202410010507,複勝,7,280,4
202410010507,複勝,8,210,3
202410010507,複勝,11,1820,13
202410010507,枠連,4-4,1990,11
202410010507,馬連,7-8,1910,5
202410010507,ワイド,7-8,750,6
202410010507,ワイド,7-11,7830,52
202410010507,ワイド,8-11,8000,55
202410010507,馬単,7→8,3590,11
202410010507,三連複,7-8-11,42900,110
202410010507,三連単,7→8→11,128810,422
202410010508,単勝,14,730,4
202410010508,複勝,14,220,4
202410010508,複勝,5,290,5
202410010508,複勝,6,180,2
202410010508,枠連,4-8,1240,5
202410010508,馬連,5-14,5940,18
202410010508,ワイド,5-14,1810,19
202410010508,ワイド,6-14,660,6
202410010508,ワイド,5-6,780,8
202410010508,馬単,14→5,12120,36
202410010508,三連複,5-6-14,7230,22
202410010508,三連単,14→5→6,65520,203
202410010509,単勝,13,460,3
202410010509,複勝,13,180,3
202410010509,複勝,3,690,10
202410010509,複勝,14,140,1
202410010509,枠連,3-8,2890,9
202410010509,馬連,3-13,14140,33
202410010509,ワイド,3-13,3360,37
202410010509,ワイド,13-14,300,2
202410010509,ワイド,3-14,2380,25
202410010509,馬単,13→3,25250,63
202410010509,三連複,3-13-14,10050,32
202410010509,三連単,13→3→14,82690,238
202410010510,単勝,8,390,2
202410010510,複勝,8,160,3
202410010510,複勝,16,180,4
202410010510,複勝,2,150,1
202410010510,枠連,4-8,1050,5
202410010510,馬連,8-16,1250,3
202410010510,ワイド,8-16,530,5
202410010510,ワイド,2-8,430,2
202410010510,ワイド,2-16,530,4
202410010510,馬単,8→16,2290,3
202410010510,三連複,2-8-16,2000,2
202410010510,三連単,8→16→2,11960,11
202410010511,単勝,2,810,6
202410010511,複勝,2,230,6
202410010511,複勝,8,200,4
202410010511,複勝,3,190,3
202410010511,枠連,2-7,940,4
202410010511,馬連,2-8,1600,10
202410010511,ワイド,2-8,690,13
202410010511,ワイド,2-3,660,11
202410010511,ワイド,3-8,470,6
202410010511,馬単,2→8,3800,22
202410010511,三連複,2-3-8,3270,17
202410010511,三連単,2→8→3,20920,102
202410010512,単勝,15,670,3
202410010512,複勝,15,220,3
202410010512,複勝,14,150,1
202410010512,複勝,16,250,5
202410010512,枠連,7-7,590,2
202410010512,馬連,14-15,1520,2
202410010512,ワイド,14-15,580,3
202410010512,ワイド,15-16,730,5
202410010512,ワイド,14-16,580,2
202410010512,馬単,15→14,3640,8
202410010512,三連複,14-15-16,3160,1
202410010512,三連単,15→14→16,15270,8
202410010601,単勝,3,660,4
202410010601,複勝,3,180,3
202410010601,複勝,9,410,7
202410010601,枠連,3-6,860,3
202410010601,馬連,3-6,1000,4
202410010601,ワイド,3-6,360,4
202410010601,ワイド,3-9,1290,17
202410010601,ワイド,6-9,1040,11
202410010601,馬単,3→6,2500,10
202410010601,三連複,3-6-9,4870,17
202410010601,三連単,3→6→9,22740,79
202410010602,単勝,4,2660,10
202410010602,複勝,4,640,10
202410010602,複勝,15,500,8
202410010602,複勝,11,220,2
202410010602,枠連,2-8,4380,16
202410010602,馬連,4-15,18350,47
202410010602,ワイド,4-15,5920,53
202410010602,ワイド,4-11,2330,30
202410010602,ワイド,11-15,1680,20
202410010602,馬単,4→15,36570,95
202410010602,三連複,4-11-15,34090,113
202410010602,三連単,4→15→11,269650,771
202410010603,単勝,14,250,1
202410010603,複勝,12,420,9
202410010603,枠連,6-8,460,1
202410010603,馬連,9-14,630,1
202410010603,ワイド,9-14,290,1
202410010603,ワイド,12-14,1030,13
202410010603,ワイド,9-12,1320,18
202410010603,馬単,14→9,1040,1
202410010603,三連複,9-12-14,3830,9
202410010603,三連単,14→9→12,11680,16
202410010604,単勝,8,300,1
202410010604,複勝,8,120,1
202410010604,複勝,1,120,2
202410010604,複勝,12,130,3
202410010604,枠連,1-6,520,3
202410010604,馬連,1-8,520,1
202410010604,ワイド,1-8,210,1
202410010604,ワイド,8-12,230,2
202410010604,ワイド,1-12,230,3
202410010604,馬単,8→1,1000,1
202410010604,三連複,1-8-12,610,1
202410010604,三連単,8→1→12,3100,2
202410010605,単勝,8,510,3
202410010605,複勝,8,200,2
202410010605,複勝,10,1150,12
202410010605,複勝,3,370,6
202410010605,枠連,5-6,1240,6
202410010605,馬連,8-10,11560,40
202410010605,ワイド,8-10,2860,34
202410010605,ワイド,3-8,830,9
202410010605,ワイド,3-10,4220,51
202410010605,馬単,8→10,17110,64
202410010605,三連複,3-8-10,29320,105
202410010605,三連単,8→10→3,158820,569
202410010606,複勝,5,140,2
202410010606,複勝,13,200,5
202410010606,枠連,1-3,260,1
202410010606,馬連,1-5,560,1
202410010606,ワイド,1-5,280,1
202410010606,ワイド,1-13,480,6
202410010606,ワイド,5-13,670,9
202410010606,馬単,1→5,1030,1
202410010606,三連複,1-5-13,1750,3
202410010606,三連単,1→5→13,6850,8
202410010607,単勝,6,160,1
202410010607,複勝,13,210,4
202410010607,複勝,11,150,2
202410010607,枠連,4-8,780,2
